                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20231127"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      464                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999173512665163E-001                  6.6421656519888739E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999173512665163E-001                  6.6421656519888739E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641034637902504E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641034637902504E+001                 -1.7641034637902504E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6623524339257667E+000                  4.0386373680324503E+000                  2.2172669770291900E+000                  1.0827149192923777E+000                  0.0000000000000000E+000                  9.2990859600383153E+000                 -4.5782285573468693E+000                  5.6958394733531756E+000                  5.9267280812077383E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                       5                                      454                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2434260651298992E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2434260651298992E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641035098539625E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641035098539625E+001                 -1.7641035098539625E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6625612463184898E+000                  4.0394902978099188E+000                  2.2172758171324776E+000                  1.0826972390858023E+000                  0.0000000000000000E+000                  9.2990859065160674E+000                 -4.5782285767589919E+000                  5.6958394444428642E+000                  5.9267280812140477E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      10                                      454                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2436629386547482E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2436629386547482E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641033896960270E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641033896960270E+001                 -1.7641033896960270E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6625792290013073E+000                  4.0395625652791702E+000                  2.2172759855014674E+000                  1.0826969023478230E+000                  0.0000000000000000E+000                  9.2990862012224422E+000                 -4.5782283485858697E+000                  5.6958395127673294E+000                  5.9267280812051282E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      15                                      454                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2442751394383801E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2442751394383801E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641030554135323E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641030554135323E+001                 -1.7641030554135323E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6625423687729142E+000                  4.0394101500820954E+000                  2.2172734983597167E+000                  1.0827018766313246E+000                  0.0000000000000000E+000                  9.2990869971231103E+000                 -4.5782277412020429E+000                  5.6958397039058930E+000                  5.9267280811791689E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      20                                      454                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2459410923831449E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2459410923831449E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641022522236263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641022522236263E+001                 -1.7641022522236263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6625171099869762E+000                  4.0393044077653677E+000                  2.2172711447732296E+000                  1.0827065838042986E+000                  0.0000000000000000E+000                  9.2990889261504588E+000                 -4.5782262623951651E+000                  5.6958401621583565E+000                  5.9267280811176737E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      25                                      454                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2509550946576925E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2509550946576925E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7641002733499786E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7641002733499786E+001                 -1.7641002733499786E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6625025185615869E+000                  4.0392406086067130E+000                  2.2172684280446795E+000                  1.0827120172613989E+000                  0.0000000000000000E+000                  9.2990936880200525E+000                 -4.5782226068153582E+000                  5.6958412895533259E+000                  5.9267280809669509E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      30                                      454                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2679900957251816E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.2679900957251816E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7640953562664901E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7640953562664901E+001                 -1.7640953562664901E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6624941319287068E+000                  4.0391982650736962E+000                  2.2172640295439323E+000                  1.0827208142628930E+000                  0.0000000000000000E+000                  9.2991055127442177E+000                 -4.5782135259770449E+000                  5.6958440866665887E+000                  5.9267280805933709E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      35                                      454                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.3221707564739285E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.3221707564739285E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7640831127510342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7640831127510342E+001                 -1.7640831127510342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6624901531229481E+000                  4.0391649475050224E+000                  2.2172553283711114E+000                  1.0827382166085351E+000                  0.0000000000000000E+000                  9.2991349192228832E+000                 -4.5781909409115036E+000                  5.6958510410149668E+000                  5.9267280796648136E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
                                      40                                      454                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.4179925981677224E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999243043074459E-001                  6.4179925981677224E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7640526211330886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7640526211330886E+001                 -1.7640526211330886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6624897221070505E+000                  4.0391248051532980E+000                  2.2172361192270453E+000                  1.0827766348966670E+000                  0.0000000000000000E+000                  9.2992080740134178E+000                 -4.5781347538004207E+000                  5.6958683399032699E+000                  5.9267280773553033E-001                  8.7970426389971068E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451485023E-005                  3.4468833607857726E-005                  9.3805276451484982E-005                  9.1127999999999947E+000                  2.8844929992208121E+000                                        0                                        2 
