                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       1                                      528                  9.0000000000000000E+000                  2.0000000000000000E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  4.3227424061887941E+003                  2.4511553572347430E+003                  8.8271369976133016E+001                 -1.0770285520126279E+001                  7.0000000000000007E-001                  2.9797635251138540E-005                  2.7997020236474895E-001                  3.4468833607861457E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  9.0000000000000000E+000                  0.0000000000000000E+000                  6.2999999999999945E+000                  2.6817871726024701E-004                  2.5197318212827415E+000                  3.1021950247075332E-002                  9.0930846684024562E-003                  8.4424748806345956E-002                  1.8765219814875334E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7667225005678851E+006                  8.8160738997573826E+003                  3.6717378902303845E+007                  1.6400126380282308E-015                  1.6400126380282308E-015                  0.0000000000000000E+000                  6.5611361641806932E-017                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1557600000000002E+002                               "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20231127"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  9.0000000000000000E+000                  1.9458198669119999E+000                  3.6357593748731749E+000                 -8.1916275625858699E+000                  3.2481869887661290E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.4333793855098864E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  8.9999999999910010E+000                  1.9458198664968316E+000                  3.6357594233120367E+000                 -8.1916272235752867E+000                  3.2481873761803848E+000                  7.0000000000000018E-001                  2.7999999999999992E-001                  1.9999999999999907E-002                  9.4333867497856386E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  8.9999999999762252E+000                  1.9458198658152510E+000                  3.6357594835172802E+000                 -8.1916268022157084E+000                  3.2481878577014704E+000                  7.0000000000000018E-001                  2.7999999999999992E-001                  1.9999999999999907E-002                  9.4333959029242042E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  8.9999999999614495E+000                  1.9458198651336691E+000                  3.6357595662995319E+000                 -8.1916262228471943E+000                  3.2481885197920981E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  9.4334084884845531E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  8.9999999999355929E+000                  1.9458198639409039E+000                  3.6357596716588634E+000                 -8.1916254854706434E+000                  3.2481893624514444E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  9.4334245064608808E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  8.9999999999097380E+000                  1.9458198627481404E+000                  3.6357598296979976E+000                 -8.1916243794090082E+000                  3.2481906264374105E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  9.4334485334070778E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  8.9999999998580247E+000                  1.9458198603626211E+000                  3.6357601457768411E+000                 -8.1916221672973020E+000                  3.2481931543983649E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  9.4334965872318205E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  8.9999999997545963E+000                  1.9458198555916040E+000                  3.6357605672169298E+000                 -8.1916192178394258E+000                  3.2481965249902278E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  9.4335606588488951E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  8.9999999996511697E+000                  1.9458198508206193E+000                  3.6357611542248565E+000                 -8.1916151097114707E+000                  3.2482012196997938E+000                  7.0000000000000018E-001                  2.7999999999999992E-001                  1.9999999999999907E-002                  9.4336499011949245E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  8.9999999994664783E+000                  1.9458198423010871E+000                  3.6357619068043037E+000                 -8.1916098429597852E+000                  3.2482072384844471E+000                  7.0000000000000018E-001                  2.7999999999999992E-001                  1.9999999999999907E-002                  9.4337643139773228E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
